#BioGRID Interaction ID,Entrez Gene Interactor A,Entrez Gene Interactor B,BioGRID ID Interactor A,BioGRID ID Interactor B,Systematic Name Interactor A,Systematic Name Interactor B,Official Symbol Interactor A,Official Symbol Interactor B,Synonyms Interactor A,Synonyms Interactor B,Experimental System,Experimental System Type,Author,Publication Source,Organism ID Interactor A,Organism ID Interactor B,Throughput,Score,Modification,Qualifications,Tags,Source Database,SWISS-PROT Accessions Interactor A,TREMBL Accessions Interactor A,REFSEQ Accessions Interactor A,SWISS-PROT Accessions Interactor B,TREMBL Accessions Interactor B,REFSEQ Accessions Interactor B,Ontology Term IDs,Ontology Term Names,Ontology Term Categories,Ontology Term Qualifier IDs,Ontology Term Qualifier Names,Ontology Term Types,Organism Name Interactor A,Organism Name Interactor B
3477171,7157,91975,113010,124898,-,-,TP53,ZNF300,BCC7|LFS1|P53|TRP53,-,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,Q96RE9,-,NP_001166302|NP_443092|NP_001166303,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477172,7157,245938,113010,128851,-,RP11-530N10.2,TP53,DEFB125,BCC7|LFS1|P53|TRP53,DEFB-25,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,Q8N687,-,NP_697020,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477173,7157,2702,113010,108969,-,-,TP53,GJA5,BCC7|LFS1|P53|TRP53,ATFB11|CX40,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,P36382,X5D2H9,NP_005257|NP_859054,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477174,7157,1945,113010,108265,-,-,TP53,EFNA4,BCC7|LFS1|P53|TRP53,EFL4|EPLG4|LERK4,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,P52798,-,NP_872632|NP_005218|NP_872631,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477175,7157,64802,113010,122308,-,RP11-807G9.1,TP53,NMNAT1,BCC7|LFS1|P53|TRP53,LCA9|NMNAT|PNAT1,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,Q9HAN9,B1AN62|A0A024R4E1,NP_073624|NP_001284708|NP_001284707,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477176,7157,317719,113010,130451,-,-,TP53,KLHL10,BCC7|LFS1|P53|TRP53,SPGF11,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,Q6JEL2,-,NP_689680,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477177,7157,89782,113010,124601,-,-,TP53,LMLN,BCC7|LFS1|P53|TRP53,GP63|INV|IX14|MSP,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,Q96KR4,B4DR62,NP_149018|NP_001129521,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477178,7157,26263,113010,117649,-,-,TP53,FBXO22,BCC7|LFS1|P53|TRP53,FBX22|FISTC1,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,Q8NEZ5,-,NP_036302|NP_671717,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477179,7157,3695,113010,109901,-,-,TP53,ITGB7,BCC7|LFS1|P53|TRP53,-,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,P26010,-,NP_000880,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477180,7157,1369,113010,107761,-,-,TP53,CPN1,BCC7|LFS1|P53|TRP53,CPN|SCPN,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,P15169,-,NP_001299,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477181,7157,8292,113010,113897,-,-,TP53,COLQ,BCC7|LFS1|P53|TRP53,EAD,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,Q9Y215,-,NP_536799|NP_536800|NP_005668,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477182,7157,8120,113010,113788,-,-,TP53,AP3B2,BCC7|LFS1|P53|TRP53,NAPTB,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,Q13367,-,NP_004635|NP_001265441|NP_001265440,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477183,7157,311,113010,106808,-,RP11-369J21.10-010,TP53,ANXA11,BCC7|LFS1|P53|TRP53,ANX11|CAP50,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,P50995,Q5T0G8,NP_001148|NP_665876|NP_665875|NP_001265338|NP_001265337|NP_001265336,-,-,-,-,-,-,Homo sapiens,Homo sapiens
