#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
478994	7157	4193	113010	110358	-	-	TP53	MDM2	BCC7|LFS1|P53|TRP53	ACTFS|HDMX|hdm2	Affinity Capture-Western	physical	Sui G (2004)	PUBMED:15210108	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	Q00987	A7UKX8|Q96DS0|A7UKX9|A7UKX7|G3XA89	NP_001354919|NP_001265391|NP_002383|NP_001138811|NP_001138812|NP_001138809	-	-	-	-	-	-	Homo sapiens	Homo sapiens
479131	7444	7157	113283	113010	-	-	VRK2	TP53	-	BCC7|LFS1|P53|TRP53	Biochemical Activity	physical	Blanco S (2006)	PUBMED:16704422	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	Q86Y07	A8K9L2	NP_001275765|NP_001275767|NP_001275766|NP_001275768|NP_001123952|NP_001123953|NP_001123954|NP_001123955|NP_006287	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
479132	7444	7157	113283	113010	-	-	VRK2	TP53	-	BCC7|LFS1|P53|TRP53	Affinity Capture-Western	physical	Blanco S (2006)	PUBMED:16704422	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q86Y07	A8K9L2	NP_001275765|NP_001275767|NP_001275766|NP_001275768|NP_001123952|NP_001123953|NP_001123954|NP_001123955|NP_006287	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
479384	2033	7157	108347	113010	RP1-85F18.1	-	EP300	TP53	KAT3B|RSTS2|p300	BCC7|LFS1|P53|TRP53	Affinity Capture-Western	physical	Zhao Y (2006)	PUBMED:16537920	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q09472	Q7Z6C1	NP_001349772|NP_001420	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
479385	1387	7157	107777	113010	-	-	CREBBP	TP53	CBP|KAT3A|RSTS	BCC7|LFS1|P53|TRP53	Affinity Capture-Western	physical	Zhao Y (2006)	PUBMED:16537920	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92793	-	NP_001073315|NP_004371	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
479386	8850	7157	114375	113010	-	-	KAT2B	TP53	CAF|P/CAF|PCAF	BCC7|LFS1|P53|TRP53	Affinity Capture-Western	physical	Zhao Y (2006)	PUBMED:16537920	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q92831	-	NP_003875	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
479475	29072	7157	118845	113010	HSPC069	-	SETD2	TP53	HBP231|HIF-1|HIP-1|HYPB|KMT3A|SET2|p231HBP	BCC7|LFS1|P53|TRP53	Affinity Capture-Western	physical	Xie P (2008)	PUBMED:18585004	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9BYW2	-	NP_001336299|NP_054878	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
479476	7157	29072	113010	118845	-	HSPC069	TP53	SETD2	BCC7|LFS1|P53|TRP53	HBP231|HIF-1|HIP-1|HYPB|KMT3A|SET2|p231HBP	Affinity Capture-Western	physical	Xie P (2008)	PUBMED:18585004	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	Q9BYW2	-	NP_001336299|NP_054878	-	-	-	-	-	-	Homo sapiens	Homo sapiens
479515	7428	7157	113269	113010	-	-	VHL	TP53	HRCA1|RCA1|VHL1|pVHL	BCC7|LFS1|P53|TRP53	Affinity Capture-Western	physical	Roe JS (2006)	PUBMED:16678111	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P40337	A0A024R2F2	NP_000542|NP_937799	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
479516	7428	7157	113269	113010	-	-	VHL	TP53	HRCA1|RCA1|VHL1|pVHL	BCC7|LFS1|P53|TRP53	Reconstituted Complex	physical	Roe JS (2006)	PUBMED:16678111	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P40337	A0A024R2F2	NP_000542|NP_937799	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
479517	7157	7428	113010	113269	-	-	TP53	VHL	BCC7|LFS1|P53|TRP53	HRCA1|RCA1|VHL1|pVHL	Affinity Capture-Western	physical	Roe JS (2006)	PUBMED:16678111	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	P40337	A0A024R2F2	NP_000542|NP_937799	-	-	-	-	-	-	Homo sapiens	Homo sapiens
479520	2033	7157	108347	113010	RP1-85F18.1	-	EP300	TP53	KAT3B|RSTS2|p300	BCC7|LFS1|P53|TRP53	Affinity Capture-Western	physical	Roe JS (2006)	PUBMED:16678111	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q09472	Q7Z6C1	NP_001349772|NP_001420	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
479523	7157	8850	113010	114375	-	-	TP53	KAT2B	BCC7|LFS1|P53|TRP53	CAF|P/CAF|PCAF	Affinity Capture-Western	physical	Roe JS (2006)	PUBMED:16678111	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	Q92831	-	NP_003875	-	-	-	-	-	-	Homo sapiens	Homo sapiens
479876	7157	4193	113010	110358	-	-	TP53	MDM2	BCC7|LFS1|P53|TRP53	ACTFS|HDMX|hdm2	Affinity Capture-Western	physical	Di Stefano V (2004)	PUBMED:15122315	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	Q00987	A7UKX8|Q96DS0|A7UKX9|A7UKX7|G3XA89	NP_001354919|NP_001265391|NP_002383|NP_001138811|NP_001138812|NP_001138809	-	-	-	-	-	-	Homo sapiens	Homo sapiens
480203	5886	7157	111823	113010	-	-	RAD23A	TP53	HHR23A|HR23A	BCC7|LFS1|P53|TRP53	Affinity Capture-Western	physical	Brignone C (2004)	PUBMED:15064742	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P54725	A8K1J3|A0A024R7G8	NP_005044|NP_001257291|NP_001257292	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
480207	4193	7157	110358	113010	-	-	MDM2	TP53	ACTFS|HDMX|hdm2	BCC7|LFS1|P53|TRP53	Affinity Capture-Western	physical	Brignone C (2004)	PUBMED:15064742	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q00987	A7UKX8|Q96DS0|A7UKX9|A7UKX7|G3XA89	NP_001354919|NP_001265391|NP_002383|NP_001138811|NP_001138812|NP_001138809	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
480315	7157	22927	113010	116587	-	RP11-172F4.4	TP53	HABP4	BCC7|LFS1|P53|TRP53	IHABP-4|IHABP4|Ki-1/57|SERBP1L	Reconstituted Complex	physical	Nery FC (2006)	PUBMED:16455055	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	Q5JVS0	-	NP_055097	-	-	-	-	-	-	Homo sapiens	Homo sapiens
480316	7157	22927	113010	116587	-	RP11-172F4.4	TP53	HABP4	BCC7|LFS1|P53|TRP53	IHABP-4|IHABP4|Ki-1/57|SERBP1L	Affinity Capture-Western	physical	Nery FC (2006)	PUBMED:16455055	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	Q5JVS0	-	NP_055097	-	-	-	-	-	-	Homo sapiens	Homo sapiens
480317	22927	7157	116587	113010	RP11-172F4.4	-	HABP4	TP53	IHABP-4|IHABP4|Ki-1/57|SERBP1L	BCC7|LFS1|P53|TRP53	Affinity Capture-Western	physical	Nery FC (2006)	PUBMED:16455055	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q5JVS0	-	NP_055097	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
480318	26135	7157	117571	113010	CGI-55	-	SERBP1	TP53	CHD3IP|HABP4L|PAI-RBP1|PAIRBP1	BCC7|LFS1|P53|TRP53	Affinity Capture-Western	physical	Nery FC (2006)	PUBMED:16455055	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q8NC51	Q5VU21|Q63HR1	NP_001018077|NP_056455|NP_001018078|NP_001018079	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
480612	57621	7157	121667	113010	-	-	ZBTB2	TP53	ZNF437	BCC7|LFS1|P53|TRP53	Affinity Capture-Western	physical	Jeon BN (2009)	PUBMED:19380588	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q8N680	-	NP_065912	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
480613	57621	7157	121667	113010	-	-	ZBTB2	TP53	ZNF437	BCC7|LFS1|P53|TRP53	Reconstituted Complex	physical	Jeon BN (2009)	PUBMED:19380588	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q8N680	-	NP_065912	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
480614	147923	7157	127098	113010	-	-	ZNF420	TP53	APAK	BCC7|LFS1|P53|TRP53	Affinity Capture-Western	physical	Tian C (2009)	PUBMED:19377469	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q8TAQ5	-	NP_001316453|NP_653290	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
480615	147923	7157	127098	113010	-	-	ZNF420	TP53	APAK	BCC7|LFS1|P53|TRP53	Reconstituted Complex	physical	Tian C (2009)	PUBMED:19377469	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q8TAQ5	-	NP_001316453|NP_653290	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
480616	7157	147923	113010	127098	-	-	TP53	ZNF420	BCC7|LFS1|P53|TRP53	APAK	Reconstituted Complex	physical	Tian C (2009)	PUBMED:19377469	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	Q8TAQ5	-	NP_001316453|NP_653290	-	-	-	-	-	-	Homo sapiens	Homo sapiens
480617	7157	147923	113010	127098	-	-	TP53	ZNF420	BCC7|LFS1|P53|TRP53	APAK	Affinity Capture-Western	physical	Tian C (2009)	PUBMED:19377469	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	Q8TAQ5	-	NP_001316453|NP_653290	-	-	-	-	-	-	Homo sapiens	Homo sapiens
480646	23028	7157	116667	113010	RP1-184J9.1	-	KDM1A	TP53	AOF2|BHC110|KDM1|LSD1	BCC7|LFS1|P53|TRP53	Affinity Capture-Western	physical	Tsai WW (2008)	PUBMED:18573881	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60341	-	NP_055828|NP_001350583|NP_001009999	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
480647	23028	7157	116667	113010	RP1-184J9.1	-	KDM1A	TP53	AOF2|BHC110|KDM1|LSD1	BCC7|LFS1|P53|TRP53	Reconstituted Complex	physical	Tsai WW (2008)	PUBMED:18573881	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60341	-	NP_055828|NP_001350583|NP_001009999	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
481370	7157	3014	113010	109268	-	-	TP53	H2AFX	BCC7|LFS1|P53|TRP53	H2A.X|H2A/X|H2AX	Affinity Capture-Western	physical	Al Rashid ST (2005)	PUBMED:16322227	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	P16104	-	NP_002096	-	-	-	-	-	-	Homo sapiens	Homo sapiens
481371	3014	7157	109268	113010	-	-	H2AFX	TP53	H2A.X|H2A/X|H2AX	BCC7|LFS1|P53|TRP53	Affinity Capture-Western	physical	Al Rashid ST (2005)	PUBMED:16322227	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P16104	-	NP_002096	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
482700	6667	7157	112550	113010	-	-	SP1	TP53	-	BCC7|LFS1|P53|TRP53	Affinity Capture-Western	physical	Lagger G (2003)	PUBMED:12665570	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P08047	-	NP_003100|NP_612482|NP_001238754	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
482701	6670	7157	112553	113010	-	-	SP3	TP53	SPR2	BCC7|LFS1|P53|TRP53	Affinity Capture-Western	physical	Lagger G (2003)	PUBMED:12665570	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q02447	B7ZLN9|Q59FX5|Q86TP0	NP_001017371|NP_003102|NP_001166183	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
482702	7157	6667	113010	112550	-	-	TP53	SP1	BCC7|LFS1|P53|TRP53	-	Affinity Capture-Western	physical	Lagger G (2003)	PUBMED:12665570	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	P08047	-	NP_003100|NP_612482|NP_001238754	-	-	-	-	-	-	Homo sapiens	Homo sapiens
482703	7157	6667	113010	112550	-	-	TP53	SP1	BCC7|LFS1|P53|TRP53	-	Reconstituted Complex	physical	Lagger G (2003)	PUBMED:12665570	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	P08047	-	NP_003100|NP_612482|NP_001238754	-	-	-	-	-	-	Homo sapiens	Homo sapiens
482704	6667	7157	112550	113010	-	-	SP1	TP53	-	BCC7|LFS1|P53|TRP53	Reconstituted Complex	physical	Lagger G (2003)	PUBMED:12665570	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P08047	-	NP_003100|NP_612482|NP_001238754	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
483749	8295	7157	113900	113010	-	-	TRRAP	TP53	PAF350/400|PAF400|STAF40|TR-AP|Tra1	BCC7|LFS1|P53|TRP53	Reconstituted Complex	physical	Ard PG (2002)	PUBMED:12138177	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9Y4A5	-	NP_003487|NP_001231509|NP_001362453	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
483750	8295	7157	113900	113010	-	-	TRRAP	TP53	PAF350/400|PAF400|STAF40|TR-AP|Tra1	BCC7|LFS1|P53|TRP53	Affinity Capture-Western	physical	Ard PG (2002)	PUBMED:12138177	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9Y4A5	-	NP_003487|NP_001231509|NP_001362453	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
483751	8295	7157	113900	113010	-	-	TRRAP	TP53	PAF350/400|PAF400|STAF40|TR-AP|Tra1	BCC7|LFS1|P53|TRP53	Co-localization	physical	Ard PG (2002)	PUBMED:12138177	9606	9606	Low Throughput	-	-	ChIP	-	BIOGRID	Q9Y4A5	-	NP_003487|NP_001231509|NP_001362453	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
483758	4436	7157	110573	113010	-	-	MSH2	TP53	COCA1|FCC1|HNPCC|HNPCC1|LCFS2	BCC7|LFS1|P53|TRP53	Affinity Capture-Western	physical	Zink D (2002)	PUBMED:12101417	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P43246	E9PHA6	NP_000242|NP_001245210	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
